year,week,deaths
2011,11,12
2011,12,184
2011,13,32
2011,14,18
2011,15,39
2011,16,230
2011,17,315
2011,18,105
2011,19,68
2011,20,191
2011,21,51
2011,22,253
2011,23,113
2011,24,15
2011,25,37
2011,26,49
2011,27,50
2011,28,69
2011,29,78
2011,30,312
2011,31,234
2011,32,198
2011,33,146
2011,34,74
2011,35,163
2011,36,111
2011,37,215
2011,38,93
2011,39,121
2011,40,117
2011,41,63
2011,42,157
2011,43,133
2011,44,190
2011,45,166
2011,46,253
2011,47,245
2011,48,264
2011,49,304
2011,50,282
2011,51,450
2011,52,316
2012,1,193
2012,2,191
2012,3,292
2012,4,438
2012,5,586
2012,6,623
2012,7,360
2012,8,483
2012,9,502
2012,10,486
2012,11,509
2012,12,538
2012,13,476
2012,14,677
2012,15,597
2012,16,555
2012,17,393
2012,18,309
2012,19,412
2012,20,345
2012,21,493
2012,22,441
2012,23,563
2012,24,570
2012,25,828
2012,26,878
2012,27,651
2012,28,820
2012,29,1659
2012,30,1497
2012,31,964
2012,32,1413
2012,33,1405
2012,34,1890
2012,35,1433
2012,36,1159
2012,37,1469
2012,38,1427
2012,39,1568
2012,40,1250
2012,41,1378
2012,42,1338
2012,43,974
2012,44,1530
2012,45,1377
2012,46,990
2012,47,964
2012,48,1146
2012,49,981
2012,50,1412
2012,51,1310
2012,52,1311
2013,1,1089
2013,2,833
2013,3,1631
2013,4,982
2013,5,1012
2013,6,1201
2013,7,1071
2013,8,1219
2013,9,1054
2013,10,1164
2013,11,1067
2013,12,1208
2013,13,1175
2013,14,1070
2013,15,1063
2013,16,1084
2013,17,1195
2013,18,1214
2013,19,683
2013,20,777
2013,21,864
2013,22,1011
2013,23,907
2013,24,855
2013,25,1009
2013,26,623
2013,27,606
2013,28,888
2013,29,1189
2013,30,1553
2013,31,1206
2013,32,1571
2013,33,1057
2013,34,3003
2013,35,1103
2013,36,1007
2013,37,664
2013,38,699
2013,39,782
2013,40,630
2013,41,816
2013,42,648
2013,43,770
2013,44,639
2013,45,621
2013,46,710
2013,47,836
2013,48,1043
2013,49,704
2013,50,718
2013,51,1277
2013,52,755
2014,1,548
2014,2,928
2014,3,703
2014,4,569
2014,5,935
2014,6,867
2014,7,833
2014,8,762
2014,9,575
2014,10,611
2014,11,505
2014,12,591
2014,13,491
2014,14,726
2014,15,719
2014,16,727
2014,17,571
2014,18,643
2014,19,644
2014,20,648
2014,21,430
2014,22,579
2014,23,569
2014,24,715
2014,25,534
2014,26,488
2014,27,366
2014,28,407
2014,29,488
2014,30,557
2014,31,497
2014,32,329
2014,33,491
2014,34,381
2014,35,540
2014,36,697
2014,37,524
2014,38,651
2014,39,312
2014,40,444
2014,41,405
2014,42,488
2014,43,463
2014,44,369
2014,45,359
2014,46,346
2014,47,399
2014,48,398
2014,49,433
2014,50,290
2014,51,438
2014,52,566
2015,1,219
2015,2,118
2015,3,168
2015,4,420
2015,5,304
2015,6,514
2015,7,250
2015,8,322
2015,9,303
2015,10,330
2015,11,473
2015,12,472
2015,13,599
2015,14,383
2015,15,320
2015,16,362
2015,17,408
2015,18,479
2015,19,312
2015,20,495
2015,21,379
2015,22,384
2015,23,328
2015,24,472
2015,25,362
2015,26,600
2015,27,384
2015,28,266
2015,29,283
2015,30,301
2015,31,341
2015,32,297
2015,33,745
2015,34,409
2015,35,256
2015,36,196
2015,37,168
2015,38,188
2015,39,207
2015,40,208
2015,41,306
2015,42,430
2015,43,434
2015,44,437
2015,45,436
2015,46,398
2015,47,360
2015,48,413
2015,49,404
2015,50,498
2015,51,389
2015,52,434
2015,53,239
2016,1,292
2016,2,464
2016,3,389
2016,4,377
2016,5,441
2016,6,312
2016,7,367
2016,8,321
2016,9,197
2016,10,228
2016,11,118
2016,12,189
2016,13,249
2016,14,269
2016,15,236
2016,16,363
2016,17,369
2016,18,320
2016,19,227
2016,20,306
2016,21,166
2016,22,459
2016,23,373
2016,24,343
2016,25,392
2016,26,380
2016,27,332
2016,28,460
2016,29,612
2016,30,431
2016,31,445
2016,32,464
2016,33,369
2016,34,328
2016,35,389
2016,36,389
2016,37,194
2016,38,577
2016,39,346
2016,40,329
2016,41,356
2016,42,267
2016,43,359
2016,44,313
2016,45,328
2016,46,426
2016,47,394
2016,48,321
2016,49,286
2016,50,223
2016,51,191
2016,52,163
2017,1,153
2017,2,201
2017,3,188
2017,4,117
2017,5,219
2017,6,278
2017,7,377
2017,8,493
2017,9,284
2017,10,214
2017,11,297
2017,12,355
2017,13,182
2017,14,452
2017,15,196
2017,16,218
2017,17,349
2017,18,273
2017,19,188
2017,20,168
2017,21,186
2017,22,175
2017,23,177
2017,24,171
2017,25,230
2017,26,286
2017,27,169
2017,28,219
2017,29,297
2017,30,173
2017,31,183
2017,32,182
2017,33,215
2017,34,111
2017,35,106
2017,36,168
2017,37,166
2017,38,291
2017,39,262
2017,40,294
2017,41,244
2017,42,167
2017,43,79
2017,44,82
2017,45,108
2017,46,224
2017,47,206
2017,48,205
2017,49,163
2017,50,124
2017,51,127
2017,52,191
2018,1,83
2018,2,5
